type,value,context,confidence,first_seen,last_seen,case_count,cases,sources
cve,CVE-2024-23897,Jenkins arbitrary file read (CVSS 9.8) used as initial access on the exposed Jenkins server,high,2026-06-12,2026-06-12,1,2026-06-12_LinkPro-eBPF-Rootkit-MagicPacket-EKS,Jenkins SECURITY-3314 / Synacktiv
cve,CVE-2024-3721,TBK DVR-4104/-4216 OS command injection — primary vector,high,2026-05-02,2026-05-02,1,2026-05-02_Nexcorium-TBK-DVR-CVE-2024-3721,FortiGuard
cve,CVE-2024-40766,SonicOS improper access control (mgmt + SSL VPN),high,2026-05-05,2026-05-05,1,2026-05-05_Akira-SonicWall-CVE-2024-40766,SonicWall PSIRT
cve,CVE-2024-42009,Roundcube XSS exploited by UNC1151 in prior mailbox-compromise feeder campaign (CERT Polska 2025-06); supplies the compromised originating mailboxes used in current OYSTERFRESH delivery,medium,2026-05-25,2026-05-25,1,2026-05-25_UAC0057-OYSTERFRESH-Prometheus-Ukraine,CERT-Polska-2025-06
cve,CVE-2024-55591,FortiGate auth-bypass used by The Gentlemen for initial access per their leaked operations DB; IAB-to-affiliate context (secondary),medium,2026-06-09,2026-06-09,1,2026-06-09_Kyber-Dual-ESXi-Windows-Backup-Hypervisor-Ransomware,Infosecurity Magazine
cve,CVE-2024-7344,Howyar SysReturn reloader.efi - Microsoft-signed loader that runs unsigned payload from a hardcoded path; revoked Jan 2025 Patch Tuesday,high,2026-06-07,2026-06-07,1,2026-06-07_SecureBoot-2011-Cert-Expiry-Bootkit-Exposure,ESET/NVD
cve,CVE-2024-8105,PKfail - leaked AMI test Platform Keys marked DO NOT TRUST shipped in 800+ device models,high,2026-06-07,2026-06-07,1,2026-06-07_SecureBoot-2011-Cert-Expiry-Bootkit-Exposure,Binarly/CERT-CC
cve,CVE-2025-20333,Cisco WebVPN RCE — initial access,high,2026-04-30,2026-04-30,1,2026-04-30_FIRESTARTER-LINE-VIPER-UAT4356,Cisco PSIRT
cve,CVE-2025-20362,Cisco auth bypass — initial access,high,2026-04-30,2026-04-30,1,2026-04-30_FIRESTARTER-LINE-VIPER-UAT4356,Cisco PSIRT
cve,CVE-2025-3052,Signed BIOS-flashing utility for rugged tablets executes on any Secure Boot platform; 14 dbx signatures added 2025-06-10,high,2026-06-07,2026-06-07,1,2026-06-07_SecureBoot-2011-Cert-Expiry-Bootkit-Exposure,Binarly/Microsoft
cve,CVE-2025-5517,ABB Terra AC wallbox heap-based buffer overflow (CWE-122) in firmware OCPP message handling; oversized OCPP DataTransfer messageId copied via sprintf into a fixed-size buffer; DoS confirmed and RCE assessed plausible; CVSS 6.8-7.x,high,2026-06-06,2026-06-06,1,2026-06-06_OCPP-EVCharging-ABB-TerraAC-CVE-2025-5517,SaiFlow/ABB/CISA ICSA-26-146-01
cve,CVE-2025-55182,React2Shell upstream initial-access vector exploited against React Server Components in Linux EtherRAT lineage,high,2026-05-15,2026-05-15,1,2026-05-15_EtherRAT-TukTuk-Gentlemen,Sysdig December 2025
cve,CVE-2025-55190,Companion Argo CD project-API token plaintext repository-credential leak; CVSS 10.0; disclosed 2025-09-04,high,2026-06-11,2026-06-11,1,2026-06-11_ArgoCD-ServerSideDiff-CVE-2026-42880-K8s-Secret-Leak,GHSA-786q-9hcg-v9ff
cve,CVE-2025-5777,CitrixBleed 2 - prior NetScaler memory disclosure in the same class; genealogy reference,medium,2026-07-09,2026-07-09,1,2026-07-09_CitrixBleed-Infinity-NetScaler-SAML-Overread-CVE-2026-8451,watchTowr Labs
cve,CVE-2025-58428,Veeder-Root TLS4B ATG — authenticated RCE via OS command injection; CVSS 9.4; allows full shell access on underlying Linux OS,high,2026-06-19,2026-06-19,1,2026-06-19_ATGFuelMonitor-IranNexus-CyberPhysical,https://www.cisa.gov/news-events/ics-advisories/icsa-25-296-03
cve,CVE-2025-67038,Lantronix EDS5000 HTTP RPC unauthenticated OS command injection — username param concatenated into failed-auth logging shell command — root RCE; CVSS 9.8,high,2026-06-27,2026-06-27,1,2026-06-27_Lantronix-EDS5000-BRIDGEBREAK-CVE-2025-67038-OT-Bridge,CISA ICSA-26-069-02 / Forescout BRIDGE:BREAK
cve,CVE-2026-10816,Sibling: external control of path -> unauthenticated arbitrary file read when mgmt access enabled on NSIP/Cluster IP/SNIP; CVSS 7.7,high,2026-07-09,2026-07-09,1,2026-07-09_CitrixBleed-Infinity-NetScaler-SAML-Overread-CVE-2026-8451,Citrix CTX696604 / The Hacker News
cve,CVE-2026-10817,Sibling: memory overread when TCP TimeStamp enabled in TCP profile; CVSS 6.9,medium,2026-07-09,2026-07-09,1,2026-07-09_CitrixBleed-Infinity-NetScaler-SAML-Overread-CVE-2026-8451,Citrix CTX696604 / The Hacker News
cve,CVE-2026-13207,FUXA SCADA/HMI auth bypass via dot-segment path normalization; unauthenticated user+role enumeration; CVSS v4 8.6; affects <=1.3.1 fixed in 1.3.2,high,2026-07-04,2026-07-04,1,2026-07-04_FUXA-SCADA-HMI-PathNorm-AuthBypass-CVE-2026-13207,CISA ICSA-26-181-02/NVD
cve,CVE-2026-13474,Sibling: missing memory release -> DoS via malformed HTTP/2 requests; CVSS 8.7; also requires setting Http2SmallWndTimeout=30,high,2026-07-09,2026-07-09,1,2026-07-09_CitrixBleed-Infinity-NetScaler-SAML-Overread-CVE-2026-8451,Citrix CTX696604 / The Hacker News
cve,CVE-2026-20122,vManage chain CVE patched Feb 2026,high,2026-05-16,2026-05-16,1,2026-05-16_Cisco-SDWAN-vHub-AuthBypass-UAT8616,Cisco PSIRT advisory cisco-sa-sdwan-authbp-qwCX8D4v
cve,CVE-2026-20127,Earlier vdaemon authentication bypass (Feb 2026); same DTLS service; exploited by UAT-8616 since 2023,high,2026-05-16,2026-05-16,1,2026-05-16_Cisco-SDWAN-vHub-AuthBypass-UAT8616,Cisco PSIRT + Talos
cve,CVE-2026-20128,vManage chain CVE patched Feb 2026,high,2026-05-16,2026-05-16,1,2026-05-16_Cisco-SDWAN-vHub-AuthBypass-UAT8616,Cisco PSIRT advisory cisco-sa-sdwan-authbp-qwCX8D4v
cve,CVE-2026-20133,vManage chain CVE patched Feb 2026; mass-exploited from March 2026,high,2026-05-16,2026-05-16,1,2026-05-16_Cisco-SDWAN-vHub-AuthBypass-UAT8616,Cisco PSIRT advisory cisco-sa-sdwan-authbp-qwCX8D4v
cve,CVE-2026-20182,Cisco Catalyst SD-WAN Controller vHub authentication bypass; CVSS 10.0; CWE-287,high,2026-05-16,2026-05-16,1,2026-05-16_Cisco-SDWAN-vHub-AuthBypass-UAT8616,Cisco PSIRT advisory cisco-sa-sdwan-rpa2-v69WY2SW
cve,CVE-2026-25592,Semantic Kernel .NET <1.71.0 — SessionsPythonPlugin DownloadFileAsync arbitrary file write enabling sandbox escape to host,high,2026-05-13,2026-05-13,1,2026-05-13_SemanticKernel-Prompt2RCE,https://nvd.nist.gov/vuln/detail/CVE-2026-25592
cve,CVE-2026-25939,FUXA unauthenticated authorization bypass; create/modify operational schedulers; affects 1.2.8-1.2.10 fixed in 1.2.11,high,2026-07-04,2026-07-04,1,2026-07-04_FUXA-SCADA-HMI-PathNorm-AuthBypass-CVE-2026-13207,NVD/Tech Jacks Solutions
cve,CVE-2026-26030,Semantic Kernel Python <1.39.4 — InMemoryVectorStore filter eval RCE,high,2026-05-13,2026-05-13,1,2026-05-13_SemanticKernel-Prompt2RCE,https://nvd.nist.gov/vuln/detail/CVE-2026-26030
cve,CVE-2026-27772,EV.energy OCPP WebSocket endpoint missing authentication (CWE-306); unauthenticated station impersonation and backend data manipulation; CVSS 9.4 CRITICAL,high,2026-06-06,2026-06-06,1,2026-06-06_OCPP-EVCharging-ABB-TerraAC-CVE-2025-5517,CISA ICSA-26-057-07/NVD
cve,CVE-2026-3055,Related earlier NetScaler SAML IdP overread (CVSS 9.3) sharing the same root cause; CVE-2026-8451 was found while reproducing it,high,2026-07-09,2026-07-09,1,2026-07-09_CitrixBleed-Infinity-NetScaler-SAML-Overread-CVE-2026-8451,watchTowr Labs / The Hacker News
cve,CVE-2026-32996,Veeam Backup & Replication / Agent LPE patched in KB4852 on 2026-05-27 (CVSS 7.3); backup-server pivot context (secondary not part of the Kyber samples),high,2026-06-09,2026-06-09,1,2026-06-09_Kyber-Dual-ESXi-Windows-Backup-Hypervisor-Ransomware,Veeam KB4852
cve,CVE-2026-33825,BlueHammer Windows LPE; patched in April 14 Patch Tuesday; first Nightmare-Eclipse drop seen ITW by Huntress mid-April 2026,medium,2026-05-29,2026-05-29,1,2026-05-29_MiniPlasma-CVE-2020-17103-Silent-Regression-NightmareEclipse,https://blog.barracuda.com/2026/05/19/nightmare-eclipse-zero-days-grudge
cve,CVE-2026-34908,Ubiquiti UniFi OS command injection (chain part 1) — same CISA KEV batch 2026-06-23 — secondary,high,2026-06-27,2026-06-27,1,2026-06-27_Lantronix-EDS5000-BRIDGEBREAK-CVE-2025-67038-OT-Bridge,CISA KEV 2026-06-23 / Bishop Fox
cve,CVE-2026-34909,Ubiquiti UniFi OS path traversal (chain part 2) — single-request root reverse shell when chained — secondary,high,2026-06-27,2026-06-27,1,2026-06-27_Lantronix-EDS5000-BRIDGEBREAK-CVE-2025-67038-OT-Bridge,CISA KEV 2026-06-23 / Bishop Fox
cve,CVE-2026-34910,Ubiquiti UniFi OS improper access control (chain part 3) — secondary,high,2026-06-27,2026-06-27,1,2026-06-27_Lantronix-EDS5000-BRIDGEBREAK-CVE-2025-67038-OT-Bridge,CISA KEV 2026-06-23 / Bishop Fox
cve,CVE-2026-35505,OFFIS DCMTK missing release of memory after effective lifetime; memory exhaustion / service crash DoS; CVSS v3.1 7.5 / v4 8.7; affects <=3.7.0,high,2026-07-05,2026-07-05,1,2026-07-05_DCMTK-DICOM-Toolkit-PathTraversal-FileWrite-ICSMA-26-181-01,CISA ICSMA-26-181-01
cve,CVE-2026-3650,Grassroots DICOM (GDCM) memory-exhaustion DoS; ~150-byte crafted file allocates up to 4.2 GB; affects GDCM 3.2.2; no fix at disclosure,medium,2026-07-05,2026-07-05,1,2026-07-05_DCMTK-DICOM-Toolkit-PathTraversal-FileWrite-ICSMA-26-181-01,CISA ICSMA / SentinelOne CVE DB
cve,CVE-2026-41089,Windows Netlogon (MS-NRPC) stack-based buffer overflow; unauthenticated RCE as SYSTEM on domain controllers; CVSS 9.8,high,2026-06-05,2026-06-05,1,2026-06-05_Netlogon-CVE-2026-41089-DC-RCE,Microsoft/NVD
cve,CVE-2026-41091,RedSun Microsoft Defender link-following EoP to SYSTEM; patched out-of-band on 2026-05-21 in Microsoft Defender Antimalware Platform 4.18.26040.7; CISA KEV with remediation deadline 2026-06-03,high,2026-05-29,2026-05-29,1,2026-05-29_MiniPlasma-CVE-2020-17103-Silent-Regression-NightmareEclipse,https://www.helpnetsecurity.com/2026/05/21/microsoft-defender-vulnerabilities-cve-2026-41091-cve-2026-45498/
cve,CVE-2026-42880,Argo CD ServerSideDiff Kubernetes Secret extraction; CVSS 9.6; CWE-200/CWE-212,high,2026-06-11,2026-06-11,1,2026-06-11_ArgoCD-ServerSideDiff-CVE-2026-42880-K8s-Secret-Leak,GHSA-3v3m-wc6v-x4x3
cve,CVE-2026-44628,OFFIS DCMTK access of resource using incompatible type (type confusion); crash of DCMTK client/server parsing a crafted DICOM object; CVSS v3.1 7.5 / v4 8.7; affects <=3.7.0,high,2026-07-05,2026-07-05,1,2026-07-05_DCMTK-DICOM-Toolkit-PathTraversal-FileWrite-ICSMA-26-181-01,CISA ICSMA-26-181-01
cve,CVE-2026-45321,CVSS 9.6 — pull_request_target cache poisoning + OIDC token extraction in GitHub Actions,high,2026-05-14,2026-05-14,1,2026-05-14_Mini-Shai-Hulud-TeamPCP-Mega-Campaign,GitHub Security
cve,CVE-2026-45498,UnDefend Microsoft Defender denial-of-service that silences alerts; patched out-of-band on 2026-05-21; CISA KEV deadline 2026-06-03,high,2026-05-29,2026-05-29,1,2026-05-29_MiniPlasma-CVE-2020-17103-Silent-Regression-NightmareEclipse,https://thehackernews.com/2026/05/microsoft-warns-of-two-actively.html
cve,CVE-2026-45585,YellowKey BitLocker bypass via WinRE; same Chaotic Eclipse / Nightmare-Eclipse actor cluster; Microsoft published mitigation only,high,2026-05-29,2026-05-29,1,2026-05-29_MiniPlasma-CVE-2020-17103-Silent-Regression-NightmareEclipse,https://www.bleepingcomputer.com/news/microsoft/microsoft-shares-mitigation-for-yellowkey-windows-zero-day/
cve,CVE-2026-48907,JCE pre-auth RCE via the profile-import endpoint; CVSS v4 10.0; improper access control,high,2026-06-18,2026-06-18,1,2026-06-18_JCE-CVE-2026-48907-Joomla-Unauth-RCE,NVD/CISA KEV
cve,CVE-2026-49478,Fulcio OIDC discovery client: blind SSRF via cross-host redirect + JWKS cache poisoning + Kubernetes ServiceAccount token leak; CVSS 8.7 HIGH; CWE-918,high,2026-07-02,2026-07-02,1,2026-07-02_Fulcio-Sigstore-OIDC-SSRF-CVE-2026-49478,GitLab Advisory Database
cve,CVE-2026-50003,OFFIS DCMTK path traversal (improper limitation of a pathname); DICOM receiver writes files outside the intended output directory; CVSS v3.1 9.8 / v4 9.3; affects <=3.7.0,high,2026-07-05,2026-07-05,1,2026-07-05_DCMTK-DICOM-Toolkit-PathTraversal-FileWrite-ICSMA-26-181-01,CISA ICSMA-26-181-01
cve,CVE-2026-50254,OFFIS DCMTK missing release of memory after effective lifetime; memory exhaustion / service crash DoS; CVSS v3.1 7.5 / v4 8.7; affects <=3.7.0,high,2026-07-05,2026-07-05,1,2026-07-05_DCMTK-DICOM-Toolkit-PathTraversal-FileWrite-ICSMA-26-181-01,CISA ICSMA-26-181-01
cve,CVE-2026-50751,Check Point IKEv1 Remote Access / Mobile Access certificate-validation auth bypass; CVSS 9.3; added to CISA KEV 2026-06-09,high,2026-06-16,2026-06-16,1,2026-06-16_Qilin-CheckPoint-IKEv1-CVE-2026-50751,Check Point 2026-06-08
cve,CVE-2026-50752,Sibling IKEv1 site-to-site certificate-validation MitM; CVSS 7.4; not observed exploited; found via Check Point BLAST,medium,2026-06-16,2026-06-16,1,2026-06-16_Qilin-CheckPoint-IKEv1-CVE-2026-50751,Check Point 2026-06-08
cve,CVE-2026-52868,OFFIS DCMTK path traversal (improper limitation of a pathname); CVSS v3.1 8.2 / v4 8.8; affects <=3.7.0,high,2026-07-05,2026-07-05,1,2026-07-05_DCMTK-DICOM-Toolkit-PathTraversal-FileWrite-ICSMA-26-181-01,CISA ICSMA-26-181-01
cve,CVE-2026-8206,Kirki WordPress plugin unauthenticated account takeover via password reset; CVSS 9.8 CWE-269,high,2026-06-04,2026-06-04,1,2026-06-04_Kirki-CVE-2026-8206-WP-AccountTakeover,NVD/Wordfence
cve,CVE-2026-8451,NetScaler ADC/Gateway SAML IdP: insufficient input validation in the XML AuthnRequest attribute parser leads to a pre-auth memory overread (CWE-125); leaked bytes reflected in NSC_TASS; CVSS 8.8,high,2026-07-09,2026-07-09,1,2026-07-09_CitrixBleed-Infinity-NetScaler-SAML-Overread-CVE-2026-8451,watchTowr Labs / Citrix CTX696604
cve,CVE-2026-8452,Sibling: memory overflow -> DoS when configured as Gateway or AAA vServer; CVSS 8.8,high,2026-07-09,2026-07-09,1,2026-07-09_CitrixBleed-Infinity-NetScaler-SAML-Overread-CVE-2026-8451,Citrix CTX696604 / The Hacker News
cve,CVE-2026-8655,"Sibling: memory overflow -> DoS when configured as LB type Oracle, DNS Proxy or DNS recursive resolver; CVSS 8.8",high,2026-07-09,2026-07-09,1,2026-07-09_CitrixBleed-Infinity-NetScaler-SAML-Overread-CVE-2026-8451,Citrix CTX696604 / The Hacker News
cve,N/A,Identity-only campaign; no product CVE in the chain; defense is on phishing-resistant MFA plus audit-log instrumentation,high,2026-05-27,2026-05-27,1,2026-05-27_BlackFile-UNC6671-CordialSpider-SaaS-Extortion,GTIG 2026-05-15
cve,none,No CVE; supply-chain compromise of an update server plus DLL side-loading and suspected MSSQL RCE for the corporate intrusion,high,2026-06-10,2026-07-08,4,2026-06-10_Kali365-K365-OAuth-DeviceCode-PhaaS; 2026-06-14_Humanity-Protocol-DPRK-Bridge-KeyTheft; 2026-06-15_OceanLotus-SPECTRALVIPER-FireAnt-SupplyChain; 2026-07-08_Phantom-Squatting-AI-Hallucinated-Domains-Montana-Empire,analysis | high
domain,*.0.d.7.2.7.0.1.b.e.0.a.2.ip6.arpa,Campaign B wildcard A record,high,2026-06-03,2026-06-03,1,2026-06-03_ip6arpa-Reverse-DNS-Phishing,CloudSEK
domain,*.d.d.e.0.6.3.0.0.0.7.4.0.1.0.0.2.ip6.arpa,Campaign A wildcard - any random subdomain prefix resolves to phishing infrastructure,high,2026-06-03,2026-06-03,1,2026-06-03_ip6arpa-Reverse-DNS-Phishing,CloudSEK
domain,0.d.7.2.7.0.1.b.e.0.a.2.ip6.arpa,Campaign B active malicious ip6.arpa reverse zone (TMW Global Networks 2a0e:b107:27d0::/48) resolving to IONOS Frankfurt,high,2026-06-03,2026-06-03,1,2026-06-03_ip6arpa-Reverse-DNS-Phishing,CloudSEK
domain,1.9.5.0.9.1.0.0.7.4.0.1.0.0.2.ip6.arpa,Staged ip6.arpa zone - Cloudflare NS delegated no active A record yet (armed),high,2026-06-03,2026-06-03,1,2026-06-03_ip6arpa-Reverse-DNS-Phishing,CloudSEK
domain,15hourolddomain-bypass-ed-google-workspaceprotection-fuckgoogle.com,Non-resolving domain pinged by the attacker validation batch file uploaded to VirusTotal 2026-06-19,medium,2026-07-01,2026-07-01,1,2026-07-01_AWS-Console-AiTM-input24-PhishingKit,Datadog Security Labs 2026-06-24
domain,1jabber.com,Self-hosted Jabber server for customer support (seized),high,2026-05-24,2026-05-24,1,2026-05-24_OperationSaffron-FirstVPN-Takedown,FBI_FLASH-20260521-001
domain,1rpc.io,EtherRAT smart-chain RPC resolver public service,high,2026-05-15,2026-05-15,1,2026-05-15_EtherRAT-TukTuk-Gentlemen,DFIR Report TB40048
domain,1vpns.com,First VPN Service primary website (seized 20-May-2026 by joint LE),high,2026-05-24,2026-05-24,1,2026-05-24_OperationSaffron-FirstVPN-Takedown,FBI_FLASH-20260521-001
domain,1vpns.net,First VPN Service secondary domain (seized),high,2026-05-24,2026-05-24,1,2026-05-24_OperationSaffron-FirstVPN-Takedown,FBI_FLASH-20260521-001
domain,1vpns.org,First VPN Service tertiary domain (seized),high,2026-05-24,2026-05-24,1,2026-05-24_OperationSaffron-FirstVPN-Takedown,FBI_FLASH-20260521-001
domain,2rxyt8yrhq0bgj.org,BumbleBee DGA C2 domain (atomic-list spelling),high,2026-07-03,2026-07-03,1,2026-07-03_BumbleBee-AdaptixC2-Akira-SEO-to-NTDS,The DFIR Report 2026-06-29
domain,5.2.1.6.3.0.0.7.4.0.1.0.0.2.ip6.arpa,Staged ip6.arpa zone (armed),high,2026-06-03,2026-06-03,1,2026-06-03_ip6arpa-Reverse-DNS-Phishing,CloudSEK
domain,5ka8rxp6t6eup2.org,BumbleBee DGA C2 domain,high,2026-07-03,2026-07-03,1,2026-07-03_BumbleBee-AdaptixC2-Akira-SEO-to-NTDS,The DFIR Report 2026-06-29
domain,6cimu4mc085em8.org,BumbleBee DGA C2 domain,high,2026-07-03,2026-07-03,1,2026-07-03_BumbleBee-AdaptixC2-Akira-SEO-to-NTDS,The DFIR Report 2026-06-29
domain,8.1.9.5.0.9.1.0.0.7.4.0.1.0.0.2.ip6.arpa,Staged ip6.arpa zone (armed),high,2026-06-03,2026-06-03,1,2026-06-03_ip6arpa-Reverse-DNS-Phishing,CloudSEK
domain,8doj8uvx604eck.org,BumbleBee DGA C2 domain,high,2026-07-03,2026-07-03,1,2026-07-03_BumbleBee-AdaptixC2-Akira-SEO-to-NTDS,The DFIR Report 2026-06-29
domain,9.a.d.0.6.3.0.0.7.4.0.1.0.0.2.ip6.arpa,Staged ip6.arpa zone (armed),high,2026-06-03,2026-06-03,1,2026-06-03_ip6arpa-Reverse-DNS-Phishing,CloudSEK
domain,abc.fetish-friends.com,Silver Fox staging host for ABCDoor appclient.zip pulls and channel-tagged setup endpoints,high,2026-05-18,2026-05-18,1,2026-05-18_SilverFox-ABCDoor-Tax-Phishing,Kaspersky Securelist 2026-04-30
domain,abc.haijing88.com,Silver Fox payload-host domain serving CBDT.rar and similar tax-themed lure archives,high,2026-05-18,2026-05-18,1,2026-05-18_SilverFox-ABCDoor-Tax-Phishing,Kaspersky Securelist 2026-04-30
domain,acceptable-use-policy-calendly.de,AiTM landing - Code of Conduct campaign (Apr 14-16 2026),high,2026-05-06,2026-05-06,1,2026-05-06_CodeOfConduct-AiTM-Storm-1747,Microsoft Threat Intelligence 4-may-2026
domain,advisory-tracker.com,Tenet Security PoC beacon server used in responsible-disclosure testing; real attacker will use different domain,medium,2026-06-20,2026-06-20,1,2026-06-20_Agentjacking-Sentry-MCP-DSN-Injection,Tenet Security blog 2026-06-17
domain,api.anthropic.com,LLM platform endpoint used by the operator,high,2026-05-10,2026-05-10,1,2026-05-10_Mexico-Water-AI-Assisted-OT,https://www.dragos.com/blog/ai-assisted-ics-attack-water-utility
domain,api.openai.com,LLM platform endpoint used by the operator,high,2026-05-10,2026-05-10,1,2026-05-10_Mexico-Water-AI-Assisted-OT,https://www.dragos.com/blog/ai-assisted-ics-attack-water-utility
domain,api.securehubcloud.com,Kali365 C2 API host serving the pivoting TLS certificate,high,2026-06-10,2026-06-10,1,2026-06-10_Kali365-K365-OAuth-DeviceCode-PhaaS,Arctic Wolf Labs 2026-06-02
domain,api.vpns.robovpn.com,RoboVPN country/server list API (app infrastructure),low,2026-06-28,2026-06-28,1,2026-06-28_RoboVPN-Neunative-Vo1d-Popa-Residential-Proxy-Botnet,Nokia Deepfield ERT 2026-06-18
domain,arweave.net,TukTuk Arweave dead-drop resolver gateway,high,2026-05-15,2026-05-15,1,2026-05-15_EtherRAT-TukTuk-Gentlemen,DFIR Report TB40048
domain,ashx.lhlsjcb.com,DNS C2 domain from activity ~75 days before the primary incident; suggests infrastructure rotation between visits,high,2026-06-08,2026-06-08,1,2026-06-08_OP-512-China-IIS-WebShell-Framework,ReliaQuest
domain,attachedfile.com,Shared cPanel host backing the kit; 39 observed subdomains; block as a unit,high,2026-06-10,2026-06-10,1,2026-06-10_Kali365-K365-OAuth-DeviceCode-PhaaS,Arctic Wolf Labs 2026-06-02
domain,audit.checkmarx.cx,C2 look-alike,high,2026-04-29,2026-04-29,1,2026-04-29_ShaiHulud-Bitwarden,JFrog
domain,authorized-logins.net,Mistic/Woodgnat C2 domain (mail/php/sss/mail subdomains observed),high,2026-07-07,2026-07-07,1,2026-07-07_KongTuke-Mistic-MTLBackdoor-IAB-ClickFix,Symantec Threat Hunter Team Backdoor.Mistic (2026-06-24)
domain,aws-central.us-west-login.com,AWS console phishing subdomain served by input_24 kit,high,2026-07-01,2026-07-01,1,2026-07-01_AWS-Console-AiTM-input24-PhishingKit,Datadog Security Labs 2026-06-24
